hand,sb_15_rfi,bn_15_rfi,co_15_rfi,hj_15_rfi,lj_15_rfi,utg2_15_rfi,utg1_15_rfi,utg0_15_rfi,hand,sb_25_rfi,bn_25_rfi,co_25_rfi,hj_25_rfi,lj_25_rfi,utg2_25_rfi,utg1_25_rfi,utg0_25_rfi,hand,sb_40_rfi,bn_40_rfi,co_40_rfi,hj_40_rfi,lj_40_rfi,utg2_40_rfi,utg1_40_rfi,utg0_40_rfi,hand,sb_60_rfi,bn_60_rfi,co_60_rfi,hj_60_rfi,lj_60_rfi,utg2_60_rfi,utg1_60_rfi,utg0_60_rfi
82s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,82s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,82s,,,,,,,,,82s,,,,,,,,
A7o,All-in,All-in,80% All-in 20% Raise 2x,60% Raise 2x 40% Fold,Fold,Fold,Fold,Fold,A7o,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,A7o,,,,,,,,,A7o,,,,,,,,
K7o,70% All-in 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K7o,60% Raise 3.3x 40% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,K7o,,,,,,,,,K7o,,,,,,,,
Q7o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q7o,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q7o,,,,,,,,,Q7o,,,,,,,,
J7o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J7o,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J7o,,,,,,,,,J7o,,,,,,,,
T7o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T7o,40% Raise 3.3x 60% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T7o,,,,,,,,,T7o,,,,,,,,
97o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,97o,30% Raise 3.3x 70% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,97o,,,,,,,,,97o,,,,,,,,
87o,60% All-in 40% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,87o,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,87o,,,,,,,,,87o,,,,,,,,
77,60% All-in 40% limp,30% All-in 70% Raise 2x,50% All-in 50% Raise 2x,10% All-in 90% Raise 2x,30% All-in 70% Raise 2x,40% All-in 60% Raise 2x,20% All-in 80% Raise 2x,Raise 2x,77,60% Raise 3.3x 40% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,77,,,,,,,,,77,,,,,,,,
76s,All-in,10% Raise 2x 90% Fold,Fold,Fold,Fold,Fold,Fold,Fold,76s,30% Raise 3.3x 70% Limp,Raise 2x,Raise 2x,Raise 2x,>90% Raise 2x <10% Fold,20% Raise 2x 80% Fold,Fold,20% Raise 2x 80% Fold,76s,,,,,,,,,76s,,,,,,,,
75s,70% All-in 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,75s,40% Raise 3.3x 60% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,75s,,,,,,,,,75s,,,,,,,,
74s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,74s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,74s,,,,,,,,,74s,,,,,,,,
73s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,73s,30% Raise 3.3x 70% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,73s,,,,,,,,,73s,,,,,,,,
72s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,72s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,72s,,,,,,,,,72s,,,,,,,,
A6o,All-in,All-in,Raise 2x,Fold,Fold,Fold,Fold,Fold,A6o,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Fold,A6o,,,,,,,,,A6o,,,,,,,,
K6o,70% All-in 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K6o,60% Raise 3.3x 40% Limp,10% Raise 2x 90% Fold,Fold,Fold,Fold,Fold,Fold,Fold,K6o,,,,,,,,,K6o,,,,,,,,
Q6o,50% All-in 50% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q6o,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q6o,,,,,,,,,Q6o,,,,,,,,
J6o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J6o,10% Raise 3.3x 90% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J6o,,,,,,,,,J6o,,,,,,,,
T6o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T6o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T6o,,,,,,,,,T6o,,,,,,,,
96o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,96o,<10% Raise 3.3x >90% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,96o,,,,,,,,,96o,,,,,,,,
86o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,86o,<10% Raise 3.3x >90% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,86o,,,,,,,,,86o,,,,,,,,
76o,20% All-in 80% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,76o,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,76o,,,,,,,,,76o,,,,,,,,
66,All-in,All-in,All-in,90% All-in 10% Raise 2x,60% All-in 40% Raise 2x,40% All-in 60% Raise 2x,80% Raise 2x 20% Fold,10% Raise 2x 90% Fold,66,30% Raise 3.3x 70% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,66,,,,,,,,,66,,,,,,,,
65s,70% All-in 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,65s,40% Raise 3.3x 60% Limp,Raise 2x,>90% Raise 2x <10% Fold,30% Raise 2x 70% Fold,<10% Raise 2x >90% Fold,Fold,Fold,Fold,65s,,,,,,,,,65s,,,,,,,,
64s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,64s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,64s,,,,,,,,,64s,,,,,,,,
63s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,63s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,63s,,,,,,,,,63s,,,,,,,,
62s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,62s,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,62s,,,,,,,,,62s,,,,,,,,
A5o,All-in,All-in,40% All-in 60% Raise 2x,Fold,Fold,Fold,Fold,Fold,A5o,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,10% Raise 2x 90% Fold,Fold,Fold,Fold,Fold,A5o,,,,,,,,,A5o,,,,,,,,
K5o,60% All-in 40% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K5o,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K5o,,,,,,,,,K5o,,,,,,,,
Q5o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q5o,40% Raise 3.3x 60% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q5o,,,,,,,,,Q5o,,,,,,,,
J5o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J5o,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J5o,,,,,,,,,J5o,,,,,,,,
T5o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T5o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T5o,,,,,,,,,T5o,,,,,,,,
95o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,95o,60% Limp 40% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,95o,,,,,,,,,95o,,,,,,,,
85o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,85o,80% Limp 20% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,85o,,,,,,,,,85o,,,,,,,,
75o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,75o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,75o,,,,,,,,,75o,,,,,,,,
65o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,65o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,65o,,,,,,,,,65o,,,,,,,,
55,All-in,All-in,All-in,All-in,70% All-in 30% Raise 2x,20% Raise 2x 80% FOld,Fold,Fold,55,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,40% Raise 2x 60% Fold,Fold,55,,,,,,,,,55,,,,,,,,
54s,30% All-in 70% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,54s,50% Raise 3.3x 50% Limp,Raise 2x,20% Raise 2x 80% Fold,Fold,Fold,Fold,Fold,Fold,54s,,,,,,,,,54s,,,,,,,,
53s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,53s,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,53s,,,,,,,,,53s,,,,,,,,
52s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,52s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,52s,,,,,,,,,52s,,,,,,,,
A4o,All-in,All-in,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,A4o,40% Raise 3.3x 60% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,A4o,,,,,,,,,A4o,,,,,,,,
K4o,50% All-in 50% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K4o,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K4o,,,,,,,,,K4o,,,,,,,,
Q4o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q4o,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q4o,,,,,,,,,Q4o,,,,,,,,
J4o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J4o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J4o,,,,,,,,,J4o,,,,,,,,
T4o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T4o,60% Limp 40% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T4o,,,,,,,,,T4o,,,,,,,,
94o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,94o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,94o,,,,,,,,,94o,,,,,,,,
84o,<10% Limp >90% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,84o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,84o,,,,,,,,,84o,,,,,,,,
74o,50% Limp 50% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,74o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,74o,,,,,,,,,74o,,,,,,,,
64o,60% Limp 40% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,64o,20% Limp 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,64o,,,,,,,,,64o,,,,,,,,
54o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,54o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,54o,,,,,,,,,54o,,,,,,,,
44,All-in,All-in,All-in,All-in,Fold,Fold,Fold,Fold,44,60% All-in 40% Limp,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,<10% Raise 2x >90% Fold,Fold,Fold,Fold,44,,,,,,,,,44,,,,,,,,
43s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,43s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,43s,,,,,,,,,43s,,,,,,,,
42s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,42s,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,42s,,,,,,,,,42s,,,,,,,,
A3o,All-in,90% All-in 10% Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,A3o,50% Raise 3.3x 50% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,A3o,,,,,,,,,A3o,,,,,,,,
K3o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K3o,30% Raise 3.3x 70% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K3o,,,,,,,,,K3o,,,,,,,,
Q3o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q3o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q3o,,,,,,,,,Q3o,,,,,,,,
J3o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J3o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J3o,,,,,,,,,J3o,,,,,,,,
T3o,90% Limp 10% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T3o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T3o,,,,,,,,,T3o,,,,,,,,
93o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,93o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,93o,,,,,,,,,93o,,,,,,,,
83o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,83o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,83o,,,,,,,,,83o,,,,,,,,
73o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,73o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,73o,,,,,,,,,73o,,,,,,,,
63o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,63o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,63o,,,,,,,,,63o,,,,,,,,
53o,40% Limp 60% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,53o,<10% Limp >90% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,53o,,,,,,,,,53o,,,,,,,,
43o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,43o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,43o,,,,,,,,,43o,,,,,,,,
33,All-in,All-in,All-in,60% All-in 40% Fold,Fold,Fold,Fold,Fold,33,All-in,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,Fold,33,,,,,,,,,33,,,,,,,,
32s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,32s,40% Raise 3.3x 60% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,32s,,,,,,,,,32s,,,,,,,,
A2o,All-in,80% All-in 20% Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,A2o,40% Raise 3.3x 60% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,A2o,,,,,,,,,A2o,,,,,,,,
K2o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K2o,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,K2o,,,,,,,,,K2o,,,,,,,,
Q2o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q2o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q2o,,,,,,,,,Q2o,,,,,,,,
J2o,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J2o,80% Limp 20% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J2o,,,,,,,,,J2o,,,,,,,,
T2o,20% Limp 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T2o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T2o,,,,,,,,,T2o,,,,,,,,
92o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,92o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,92o,,,,,,,,,92o,,,,,,,,
82o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,82o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,82o,,,,,,,,,82o,,,,,,,,
72o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,72o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,72o,,,,,,,,,72o,,,,,,,,
62o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,62o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,62o,,,,,,,,,62o,,,,,,,,
52o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,52o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,52o,,,,,,,,,52o,,,,,,,,
42o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,42o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,42o,,,,,,,,,42o,,,,,,,,
32o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,32o,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,32o,,,,,,,,,32o,,,,,,,,
22,All-in,All-in,All-in,Fold,Fold,Fold,Fold,Fold,22,All-in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,22,,,,,,,,,22,,,,,,,,
